"AIRPORT_SPECIAL_REQUIREMENT_ID","LATEST_VERSION","LAST_USER_ID","REQUIREMENT_TYPE","PRIORITY","COMMENTS","REMARKS","CATEGORY","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME_OF_DAY","END_TIME_OF_DAY","DISCONT_DAYS_OF_WEEK","AIRPORT_CODE","AIRPORTS_GROUP_ID","AIRPORT_TYPE","R_SCOPE","R_OWNER","CONSTRAINT_ID","SOURCE","LAST_MODIFIED_TIME_STAMP"
"11","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","87926434","BOTH","GLOBAL","","211","MM","2023/8/1"
"12","0","216246","AIRCRAFT","MUST","执飞新西兰航线需要具备CPDLC能力","","OPSLIMIT","1","2019/3/1","2023/3/13","00:00","23:59","1234567","","87926434","BOTH","GLOBAL","","212","MM","2023/8/1"
"13","0","216246","AIRCRAFT","MUST","新西兰飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","87926434","BOTH","GLOBAL","","213","MM","2023/8/1"
"14","0","216246","AIRCRAFT","MUST","日本飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","4","BOTH","GLOBAL","","214","MM","2023/8/1"
"15","0","216246","AIRCRAFT","MUST","法国飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","10","BOTH","GLOBAL","","215","MM","2023/8/1"
"16","0","216246","AIRCRAFT","MUST","澳大利亚飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","3","BOTH","GLOBAL","","216","MM","2023/8/1"
"17","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","3","BOTH","GLOBAL","","217","MM","2023/8/1"
"18","0","216246","AIRCRAFT","MUST","执飞澳洲航线需要具备CPDLC能力","","OPSLIMIT","1","2019/3/1","2023/3/13","00:00","23:59","1234567","","3","BOTH","GLOBAL","","218","MM","2023/8/1"
"19","0","216246","AIRCRAFT","MUST","美国飞机注册","","COUNTRY","1","2019/6/17","2050/6/17","00:00","23:59","1234567","","1","BOTH","GLOBAL","","219","MM","2023/8/1"
"20","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","1","BOTH","GLOBAL","","220","MM","2023/8/1"
"21","0","216246","AIRCRAFT","MUST","英国飞机注册","","COUNTRY","1","2019/6/17","2051/5/1","00:00","23:59","1234567","","9","BOTH","GLOBAL","","221","MM","2023/8/1"
"22","0","216246","AIRCRAFT","MUST","菲律宾飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","7","BOTH","GLOBAL","","222","MM","2023/8/1"
"23","0","216246","AIRCRAFT","MUST","西班牙飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","13","BOTH","GLOBAL","","223","MM","2023/8/1"
"24","0","216246","AIRCRAFT","MUST","越南国家注册","","COUNTRY","1","2019/6/17","2050/8/2","00:00","23:59","1234567","","295253245","BOTH","GLOBAL","","224","MM","2023/8/1"
"25","0","216246","AIRCRAFT","MUST","阿联酋飞机注册","","COUNTRY","1","2022/1/10","2050/1/10","00:00","23:59","1234567","","15","BOTH","GLOBAL","","225","MM","2023/8/1"
"26","0","216246","AIRCRAFT","MUST","韩国飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","5","BOTH","GLOBAL","","226","MM","2023/8/1"
"27","0","216246","AIRCRAFT","MUST","马来西亚飞机注册","","COUNTRY","1","2022/6/20","2050/6/1","00:00","23:59","1234567","","279672004","BOTH","GLOBAL","","227","MM","2023/8/1"
"28","0","216246","AIRCRAFT","MUST","执飞高高原机场的飞机必须具备高高原能力和RNP AR APCH，双组件无故障保留。","","HAAP","1","2019/7/5","2050/7/1","00:00","23:59","1234567","","201","BOTH","GLOBAL","","228","MM","2023/8/1"
"29","0","216246","AIRCRAFT","MUST","印度尼西亚飞机注册，仅限PEK-CGK航线","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","CGK","","BOTH","GLOBAL","","229","MM","2023/8/1"
"30","0","216246","AIRCRAFT","MUST","执飞丹东机场的飞机应具备大连公共RNP AR程序批准。","","PBN","1","2019/9/2","2050/7/1","00:00","23:59","1234567","DDG","","BOTH","GLOBAL","","230","MM","2023/8/1"
"31","0","216246","AIRCRAFT","MUST","执飞大连机场的飞机应具备大连公共RNP AR程序批准。","","PBN","1","2019/9/2","2050/7/1","00:00","23:59","1234567","DLC","","BOTH","GLOBAL","","231","MM","2023/8/1"
"32","0","216246","AIRCRAFT","MUST","张家界机场发通告，2020年12月17日开始安排的飞机需要ADSB能力","2020.12.16航班运行控制室王刚通知","ACequipment","1","2019/12/17","2061/4/1","16:00","23:59","1234567","DYG","","BOTH","GLOBAL","","232","MM","2023/8/1"
"33","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","HAV","","BOTH","GLOBAL","","233","MM","2023/8/1"
"34","0","216246","AIRCRAFT","MUST","香港飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","HKG","","BOTH","GLOBAL","","234","MM","2023/8/1"
"35","0","216246","AIRCRAFT","MUST","执飞和田机场的飞机必须APU无故障保留。","2020.11.2航班运行控制室王刚通知。","APU","1","2020/11/3","2050/7/1","00:00","23:59","1234567","HTN","","BOTH","GLOBAL","","235","MM","2023/8/1"
"36","0","216246","AIRCRAFT","MUST","APU故障航班不得执行华盛顿航班。","2019.8.15通知。","APU","1","2019/8/15","2050/8/1","00:00","23:59","1234567","IAD","","BOTH","GLOBAL","","236","MM","2023/8/1"
