"FLIGHT_LEG_RESTRICTION_ID","LATEST_VERSION","LAST_USER_ID","PRIORITY","DEPARTURE_AIRPORT_CODE","ARRIVAL_AIRPORT_CODE","SECTOR_CARRIER_CODE","RESTRICTION_TYPE","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME","END_TIME","DAY_OF_WEEK","CATEGORY","REMARKS","COMMENTS","CARRIER_CODE","FLIGHT_NUMBER","OP_SUFFIX","RESTRICTION_SCOPE","RESTRICTION_OWNER","MATCH_BY_DATE","CONSTRAINT_ID","SOURCE","REQUIRED","LAST_MODIFIED_TIME_STAMP"
"136978281","3","0","LOW","URC","","CA","AIRCRAFT","1","2023/6/2","2024/4/2","16:00","15:59","1234567","ACequipment","建议使用82T飞机","","CA","4369"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","90669271","MM","0","2024/4/2 2:46:00"
"134000246","1","0","MUST","CKG","","CA","AIRCRAFT","0","2024/1/3","2024/3/30","11:20","23:59","1234567","OPSLIMIT","因台湾地区空域部分时段关闭，若延误4小时以上，需通知总签评估影响情况","2024.1.5 明晓通知
","CA","0409"," ","GLOBAL","","DEPARTURE_DATE_TIME","90472448","MM","0","2024/1/5 2:05:02"
"137631223","1","0","HIGH","WEH","","CA","AIRCRAFT","1","2024/3/31","2024/5/5","16:00","15:59","247","ACequipment","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","CA","1598"," ","GLOBAL","","DEPARTURE_DATE_TIME","90636914","MM","0","2024/4/24 3:50:18"
"137631285","1","0","HIGH","DQA","","CA","AIRCRAFT","1","2024/3/30","2024/5/5","16:00","15:59","1356","ACequipment","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","CA","1684"," ","GLOBAL","","DEPARTURE_DATE_TIME","90636916","MM","0","2024/4/24 3:50:02"
"137631282","1","0","HIGH","PEK","","CA","AIRCRAFT","1","2024/3/30","2024/5/5","16:00","15:59","1356","ACequipment","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","CA","1683"," ","GLOBAL","","DEPARTURE_DATE_TIME","90636915","MM","0","2024/4/24 3:50:29"
"142375490","0","0","LOW","SZX","","CA","AIRCRAFT","1","2023/6/2","2027/5/1","16:00","15:59","1234567","ACequipment","建议使用大重量的359执行，32开头的飞机","","CA","0867"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","91029504","MM","0","2024/8/29 5:34:47"
"131652500","1","0","LOW","PEK","","CA","AIRCRAFT","1","2023/6/2","2027/5/1","16:00","15:59","1234567","ACequipment","建议使用大重量的359执行，32开头的飞机","","CA","0937"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","90308616","MM","0","2023/11/6 7:25:05"
"134000247","1","0","MUST","TPE","","CA","AIRCRAFT","0","2024/1/3","2024/3/30","15:20","23:59","1234567","OPSLIMIT","因台湾地区空域部分时段关闭，若延误4小时以上，需通知总签评估影响情况","2024.1.5 明晓通知
","CA","0410"," ","GLOBAL","","DEPARTURE_DATE_TIME","90472449","MM","0","2024/1/5 2:05:09"
"134000248","1","0","MUST","CKG","","CA","AIRCRAFT","0","2024/1/3","2024/3/30","13:55","23:59","1234567","OPSLIMIT","因台湾地区空域部分时段关闭，若延误4小时以上，需通知总签评估影响情况","2024.1.5 明晓通知
","CA","0418"," ","GLOBAL","","DEPARTURE_DATE_TIME","90472450","MM","0","2024/1/5 2:05:22"
"122701400","2","0","MUST","PEK","","CA","AIRCRAFT","1","2023/4/20","2023/9/20","00:00","15:59","1234567","OPSLIMIT","A32H机型执行阿斯塔纳航班时，仅使用带有ACT副油箱且副油箱功能完好的飞机执行。西南带有副油箱的A32H是B6941、B6967、B9918、B9923、B9925、B9926。","2023.4.20 明晓通知","CA","0791"," ","GLOBAL","","DEPARTURE_DATE_TIME","399","MM","0","2023/9/21 4:12:41"
"122701407","2","0","MUST","XIY","","CA","AIRCRAFT","1","2023/4/20","2023/9/20","00:00","15:59","1234567","OPSLIMIT","A32H机型执行阿斯塔纳航班时，仅使用带有ACT副油箱且副油箱功能完好的飞机执行。西南带有副油箱的A32H是B6941、B6967、B9918、B9923、B9925、B9926。","2023.4.20 明晓通知","CA","0791"," ","GLOBAL","","DEPARTURE_DATE_TIME","400","MM","0","2023/9/21 4:12:51"
"122701408","3","0","MUST","NQZ","","CA","AIRCRAFT","1","2023/4/20","2023/9/20","00:00","15:59","1234567","OPSLIMIT","A32H机型执行阿斯塔纳航班时，仅使用带有ACT副油箱且副油箱功能完好的飞机执行。西南带有副油箱的A32H是B6941、B6967、B9918、B9923、B9925、B9926。","2023.4.20 明晓通知","CA","0792"," ","GLOBAL","","DEPARTURE_DATE_TIME","401","MM","0","2023/9/21 4:13:01"
"142469314","2","0","HIGH","PVG","","CA","AIRCRAFT","1","2023/6/2","2027/5/1","16:00","15:59","1234567","ACequipment","建议使用大重量的359执行，32开头的飞机","","CA","0967"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","91029505","MM","0","2025/1/24 2:03:30"
"140398908","2","0","LOW","PEK","","CA","AIRCRAFT","1","2024/6/17","2024/9/2","16:00","15:59","1234567","ACequipment","安排82吨的max","","CA","0905"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","90865664","MM","0","2024/9/2 8:02:23"
"140398909","3","0","LOW","PEK","","CA","AIRCRAFT","1","2025/2/19","2025/3/31","16:00","15:59","1234567","ACequipment","尽量安排82吨的max","","CA","0871"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","90865665","MM","0","2025/2/19 8:20:48"
"137631187","1","0","HIGH","PEK","","CA","AIRCRAFT","1","2024/3/31","2024/5/5","16:00","15:59","247","ACequipment","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","今日该航班为国航执行，尽量不使用蒙湿主备机执行。如须使用，请与签派沟通，手工修改FPL。","CA","1597"," ","GLOBAL","","DEPARTURE_DATE_TIME","90636913","MM","0","2024/4/24 3:50:40"
"141054243","2","0","HIGH","TFU","","CA","AIRCRAFT","1","2024/7/24","2024/7/25","16:00","15:59","1234567","ACequipment","天府米兰首航使用B307A、B307C、B308C 其中一架执行","","CA","0445"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","90900082","MM","0","2024/7/26 6:42:54"
"126805603","8","0","HIGH","PVG","","CA","AIRCRAFT","1","2023/6/2","2027/5/1","16:00","15:59","1234567","ACequipment","建议使用大重量的359执行，32开头的飞机","","CA","0839"," ","ROLE","SCHEDULE_PEK","DEPARTURE_DATE_TIME","431","MM","0","2025/1/24 2:03:05"
"147544339","1","0","HIGH","TFU","","CA","AIRCRAFT","1","2025/1/14","2025/3/29","16:00","15:59","1234567","OPSLIMIT","新加坡落地许可限","邵俊2025.1.15通知","CA","0553"," ","GLOBAL","","DEPARTURE_DATE_TIME","91324421","MM","1","2025/1/15 6:13:30"
"147544348","1","0","HIGH","SIN","","CA","AIRCRAFT","1","2025/1/14","2025/3/29","16:00","15:59","1234567","OPSLIMIT","新加坡落地许可限","邵俊2025.1.15通知","CA","0554"," ","GLOBAL","","DEPARTURE_DATE_TIME","91324422","MM","1","2025/1/15 6:13:17"
"147544368","1","0","HIGH","TFU","","CA","AIRCRAFT_TYPE","1","2025/1/14","2025/3/29","16:00","15:59","1234567","OPSLIMIT","机务放行能力限制","邵俊2025.1.15通知","CA","0403"," ","GLOBAL","","DEPARTURE_DATE_TIME","91324423","MM","1","2025/2/21 0:51:15"
"147544369","1","0","HIGH","SIN","","CA","AIRCRAFT_TYPE","1","2025/1/14","2025/3/29","16:00","15:59","1234567","OPSLIMIT","机务放行能力限制","邵俊2025.1.15通知","CA","0404"," ","GLOBAL","","DEPARTURE_DATE_TIME","91324424","MM","1","2025/2/21 0:51:03"
"149776859","0","0","HIGH","TFU","","CA","AIRCRAFT","1","2025/1/14","2025/3/29","16:00","15:59","1234567","OPSLIMIT","落地许可限制","邵俊2025.3.11通知","CA","0459"," ","GLOBAL","","DEPARTURE_DATE_TIME","91389993","MM","0","2025/3/11 1:50:57"
