"SECTOR_SPECIAL_REQUIREMENT_ID","LATEST_VERSION","LAST_USER_ID","REQUIREMENT_TYPE","PRIORITY","COMMENTS","REMARKS","CATEGORY","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME_OF_DAY","END_TIME_OF_DAY","DISCONT_DAYS_OF_WEEK","DEPARTURE_AIRPORT_CODE","ARRIVAL_AIRPORT_CODE","CARRIER_CODE","R_SCOPE","R_OWNER","CONSTRAINT_ID","SOURCE","LAST_MODIFIED_TIME_STAMP"
"554","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DXB","CTU","CA","GLOBAL","","954","MM","2024/8/21 8:20:39"
"555","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DXB","WUH","CA","GLOBAL","","955","MM","2024/8/21 8:20:46"
"556","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","EDI","XIY","CA","GLOBAL","","956","MM","2024/8/21 8:20:54"
"557","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","EDI","HGH","CA","GLOBAL","","957","MM","2024/8/21 8:21:01"
"558","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","EWR","PEK","CA","GLOBAL","","958","MM","2024/8/21 8:21:09"
"559","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","EZE","MAD","CA","GLOBAL","","959","MM","2024/8/21 8:21:16"
"560","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FCO","HGH","CA","GLOBAL","","960","MM","2024/8/21 8:21:24"
"561","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FCO","ATH","CA","GLOBAL","","961","MM","2024/8/21 8:21:32"
"562","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FCO","PEK","CA","GLOBAL","","962","MM","2024/8/21 8:21:40"
"563","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","FIH","SYX","CA","GLOBAL","","963","MM","2024/8/21 8:21:47"
"564","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/28","2050/7/1","00:00","23:59","1234567","FRA","TAO","CA","GLOBAL","","964","MM","2024/8/21 8:21:55"
"565","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2022/12/7","2050/7/1","00:00","23:59","1234567","FRA","XIY","CA","GLOBAL","","965","MM","2024/8/21 8:22:02"
"566","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FRA","TFU","CA","GLOBAL","","966","MM","2024/8/21 8:22:10"
"567","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/21","2050/7/1","00:00","23:59","1234567","FRA","TSN","CA","GLOBAL","","967","MM","2024/8/21 8:22:17"
"568","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FRA","PEK","CA","GLOBAL","","968","MM","2024/8/21 8:22:25"
"569","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FRA","SZX","CA","GLOBAL","","969","MM","2024/8/21 8:22:32"
"570","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FRA","PVG","CA","GLOBAL","","970","MM","2024/8/21 8:22:40"
"571","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FRA","CTU","CA","GLOBAL","","971","MM","2024/8/21 8:22:48"
"572","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","FRA","CKG","CA","GLOBAL","","972","MM","2024/8/21 8:22:56"
"573","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","FRA","HGH","CA","GLOBAL","","973","MM","2024/8/21 8:23:03"
"574","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FRA","CGQ","CA","GLOBAL","","974","MM","2024/8/21 8:23:11"
"575","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FUK","PVG","CA","GLOBAL","","975","MM","2024/8/21 8:23:18"
"576","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","FUK","DLC","CA","GLOBAL","","976","MM","2024/8/21 8:23:26"
"577","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","GMP","PEK","CA","GLOBAL","","977","MM","2024/8/21 8:23:33"
"578","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","GRU","MAD","CA","GLOBAL","","978","MM","2024/8/21 8:23:41"
"579","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/1/16","2050/7/1","00:00","23:59","1234567","GVA","SHE","CA","GLOBAL","","979","MM","2024/8/21 8:23:48"
"580","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/1/16","2050/7/1","00:00","23:59","1234567","GVA","PEK","CA","GLOBAL","","980","MM","2024/8/21 8:23:56"
"582","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HAV","YUL","CA","GLOBAL","","982","MM","2024/8/21 8:24:04"
"586","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HGH","FCO","CA","GLOBAL","","986","MM","2024/8/21 8:24:12"
"589","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HGH","TPE","CA","GLOBAL","","989","MM","2024/8/21 8:24:19"
"593","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HGH","URT","CA","GLOBAL","","993","MM","2024/8/21 8:24:27"
"595","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HGH","CXR","CA","GLOBAL","","995","MM","2024/8/21 8:24:34"
"603","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","HGH","FRA","CA","GLOBAL","","1003","MM","2024/8/21 8:24:42"
"604","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/9/25","2050/7/1","00:00","23:59","1234567","HGH","LHR","CA","GLOBAL","","1004","MM","2024/8/21 8:24:49"
"605","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HGH","SIN","CA","GLOBAL","","1005","MM","2024/8/21 8:24:57"
"606","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","HHA","HRE","CA","GLOBAL","","1006","MM","2024/8/21 8:25:04"
"607","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HHA","DLC","CA","GLOBAL","","1007","MM","2024/8/21 8:25:12"
"608","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HHA","ATH","CA","GLOBAL","","1008","MM","2024/8/21 8:25:20"
"609","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HIJ","DLC","CA","GLOBAL","","1009","MM","2024/8/21 8:25:28"
"610","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HKG","DLC","CA","GLOBAL","","1010","MM","2024/8/21 8:25:35"
"611","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HKT","HGH","CA","GLOBAL","","1011","MM","2024/8/21 8:25:43"
"615","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HND","PEK","CA","GLOBAL","","1015","MM","2024/8/21 8:25:50"
"616","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/27","2050/7/1","00:00","23:59","1234567","HND","WUH","CA","GLOBAL","","1016","MM","2024/8/21 8:25:58"
"617","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HNL","PEK","CA","GLOBAL","","1017","MM","2024/8/21 8:26:05"
"618","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/1/16","2050/7/1","00:00","23:59","1234567","HRB","YVR","CA","GLOBAL","","1018","MM","2024/8/21 8:26:13"
"623","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","HRE","CGO","CA","GLOBAL","","1023","MM","2024/8/21 8:26:20"
"624","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","HRE","SYX","CA","GLOBAL","","1024","MM","2024/8/21 8:26:28"
"625","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","HRE","PEK","CA","GLOBAL","","1025","MM","2024/8/21 8:26:36"
"628","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAD","PEK","CA","GLOBAL","","1028","MM","2024/8/21 8:26:44"
"629","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAD","SZX","CA","GLOBAL","","1029","MM","2024/8/21 8:26:51"
"630","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAD","NKG","CA","GLOBAL","","1030","MM","2024/8/21 8:26:59"
"631","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","IAH","TSN","CA","GLOBAL","","1031","MM","2024/8/21 8:27:06"
"632","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAH","PTY","CA","GLOBAL","","1032","MM","2024/8/21 8:27:14"
"633","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAH","PEK","CA","GLOBAL","","1033","MM","2024/8/21 8:27:21"
"634","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAH","HFE","CA","GLOBAL","","1034","MM","2024/8/21 8:27:29"
"635","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","IAH","HRB","CA","GLOBAL","","1035","MM","2024/8/21 8:27:36"
"636","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2050/7/1","00:00","23:59","1234567","ICN","TAO","CA","GLOBAL","","1036","MM","2024/8/21 8:27:44"
"637","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/1/16","2050/7/1","00:00","23:59","1234567","ICN","TFU","CA","GLOBAL","","1037","MM","2024/8/21 8:27:51"
"638","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","ICN","XIY","CA","GLOBAL","","1038","MM","2024/8/21 8:28:00"
"639","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","PEK","CA","GLOBAL","","1039","MM","2024/8/21 8:28:07"
"642","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","WNZ","CA","GLOBAL","","1042","MM","2024/8/21 8:28:45"
"643","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","CKG","CA","GLOBAL","","1043","MM","2024/8/21 8:29:00"
"644","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","CTU","CA","GLOBAL","","1044","MM","2024/8/21 8:29:15"
"645","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","YNJ","CA","GLOBAL","","1045","MM","2024/8/21 8:29:31"
"646","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/21","2050/7/1","00:00","23:59","1234567","ICN","TSN","CA","GLOBAL","","1046","MM","2024/8/21 8:29:46"
"647","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/21","2050/7/1","00:00","23:59","1234567","ICN","DLC","CA","GLOBAL","","1047","MM","2024/8/21 8:30:01"
"648","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/4/2","2050/7/1","00:00","23:59","1234567","ICN","PVG","CA","GLOBAL","","1048","MM","2024/8/21 8:30:16"
"649","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/27","2050/7/1","00:00","23:59","1234567","ICN","TAO","CA","GLOBAL","","1049","MM","2024/8/21 8:30:31"
"650","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","WUX","CA","GLOBAL","","1050","MM","2024/8/21 8:30:47"
"651","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/1/8","2050/7/1","00:00","23:59","1234567","ICN","YNJ","CA","GLOBAL","","1051","MM","2024/8/21 8:31:02"
"652","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","INC","MED","CA","GLOBAL","","1052","MM","2024/8/21 8:31:17"
"653","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","JED","URC","CA","GLOBAL","","1053","MM","2024/8/21 8:31:32"
"654","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/6/26","2050/7/1","00:00","23:59","1234567","JED","TNA","CA","GLOBAL","","1054","MM","2024/8/21 8:31:47"
"655","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JED","PEK","CA","GLOBAL","","1055","MM","2024/8/22 0:26:38"
"656","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JED","INC","CA","GLOBAL","","1056","MM","2024/8/22 0:27:41"
"657","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JED","ZGC","CA","GLOBAL","","1057","MM","2024/8/22 0:27:50"
"658","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JED","CTU","CA","GLOBAL","","1058","MM","2024/8/22 0:27:55"
"659","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/6/1","2050/7/1","00:00","23:59","1234567","JED","LHW","CA","GLOBAL","","1059","MM","2024/8/22 0:28:01"
"660","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/6/1","2050/7/1","00:00","23:59","1234567","JED","URC","CA","GLOBAL","","1060","MM","2024/8/22 0:28:06"
"661","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2023/4/26","2050/7/1","00:00","23:59","1234567","JED","PEK","CA","GLOBAL","","1061","MM","2024/8/22 0:28:11"
"662","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JED","LHW","CA","GLOBAL","","1062","MM","2024/8/22 0:28:16"
"640","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","ICN","TSN","CA","GLOBAL","","1040","MM","2024/8/21 8:28:15"
"664","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","JFK","CKG","CA","GLOBAL","","1064","MM","2024/8/22 0:38:29"
"665","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JFK","HET","CA","GLOBAL","","1065","MM","2024/8/22 0:38:35"
"666","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","JFK","DLC","CA","GLOBAL","","1066","MM","2024/8/22 0:38:41"
"667","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JFK","PEK","CA","GLOBAL","","1067","MM","2024/8/22 0:38:47"
"668","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JFK","HFE","CA","GLOBAL","","1068","MM","2024/8/22 0:38:52"
"669","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JFK","XIY","CA","GLOBAL","","1069","MM","2024/8/22 0:38:58"
"670","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JFK","CTU","CA","GLOBAL","","1070","MM","2024/8/22 0:39:04"
"671","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JFK","SZX","CA","GLOBAL","","1071","MM","2024/8/22 0:39:20"
"672","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","JIB","CTU","CA","GLOBAL","","1072","MM","2024/8/22 0:39:27"
"674","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","JNB","CTU","CA","GLOBAL","","1074","MM","2024/8/22 0:40:04"
