"AIRPORT_RESTRICTION_ID","LATEST_VERSION","LAST_USER_ID","PRIORITY","COMMENTS","REMARKS","CATEGORY","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME_OF_DAY","END_TIME_OF_DAY","DISCONT_DAYS_OF_WEEK","CURFEW_AIRPORT_RST_TYPE","CONSTRAINT_TYPE","CONSTRAINT_VALUE","RESTRICTION_TYPE","AIRPORT_CODE","AIRPORT_TYPE","RESTRICTION_SCOPE","RESTRICTION_OWNER","AIRPORTS_GROUP_ID","CONSTRAINT_ID","SOURCE","REQUIRED","LAST_MODIFIED_TIME_STAMP"
"145884535","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","CPH","BOTH","GLOBAL","","","91226198","MM","1","2024/12/2 3:26:46"
"145743045","1","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","SYD","BOTH","GLOBAL","","","91226153","MM","1","2024/12/2 3:16:27"
"145743047","2","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","NQZ","BOTH","GLOBAL","","","91226155","MM","1","2024/12/27 1:14:37"
"145748237","0","0","MUST","2024.11.27运控明晓通知","ZSTX 黄山/屯溪 2411170715 -- 2412081315 07:15-13:15 DLY
RWY13/31 关闭, 因道面维护。","CURFEW","0","2024/11/17","2024/12/8","00:00","05:15","1234567","BOTH","","","AIRPORT_CURFEW","TXN","BOTH","GLOBAL","","","91226160","MM","0","2024/11/27 2:56:45"
"145777434","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","GVA","BOTH","GLOBAL","","","91226168","MM","1","2024/11/29 6:08:38"
"145777439","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","WAW","BOTH","GLOBAL","","","91226169","MM","1","2024/11/29 6:10:20"
"145777521","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","HTA","BOTH","GLOBAL","","","91226173","MM","1","2024/11/29 6:20:29"
"145780416","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","PNH","BOTH","GLOBAL","","","91226182","MM","1","2024/11/29 7:26:53"
"145884343","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","PUS","BOTH","GLOBAL","","","91226195","MM","1","2024/12/2 3:07:30"
"145856309","1","0","MUST","2024.12.2AOC运行控制辅助席位通知","B6595飞机不执行国际航班","ACequipment","1","2024/12/1","2025/1/2","00:00","23:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","113776777","91193353","MM","0","2025/1/3 5:33:52"
"145946376","1","0","MUST","2024.12.6 AOC通知
2024.12.7通知取消","B2045全舱娱乐故障，限飞欧、美，澳，非国际航班","OPSLIMIT","1","2024/12/5","2024/12/6","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","1","91226205","MM","0","2024/12/7 0:02:05"
"145946377","1","0","MUST","2024.12.6 AOC通知
2024.12.7通知取消","B2045全舱娱乐故障，限飞欧、美，澳，非国际航班","OPSLIMIT","1","2024/12/5","2024/12/6","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","2","91226206","MM","0","2024/12/7 0:18:23"
"145962885","1","0","MUST","2024.12.7AOC","B8490不实施RNP AR运行（高高原机场及大连，丹东，乌鲁木齐）","OPSLIMIT","1","2024/12/6","2024/12/9","16:00","15:59","1234567","BOTH","","","AIRCRAFT","URC","BOTH","GLOBAL","","","91193362","MM","0","2024/12/10 2:37:22"
"146185682","1","0","MUST","2025.1.1运控辅助席位通知","
C0002/25 呼和浩特/白塔 (ZBHH)  2025/01/03 03:30 - 2025/01/03 05:30  (√) 
RWY 08/26 关闭，因施工.
","CURFEW","0","2025/1/2","2025/1/2","19:30","21:30","4","BOTH","","","AIRPORT_CURFEW","HET","BOTH","GLOBAL","","","91193375","MM","0","2025/1/1 14:26:14"
"144771078","1","0","MUST","宵禁：0400-0700","宵禁：0400-0700","CURFEW","0","2024/10/26","2025/3/28","20:00","23:00","1234567","BOTH","","","AIRPORT_CURFEW","PNH","BOTH","GLOBAL","","","91127824","MM","0","2024/10/31 2:34:16"
"144770892","2","0","MUST","仰光城市宵禁，为02:30-04:30","仰光城市宵禁，为02:30-04:30","CURFEW","0","2024/10/26","2025/3/28","18:30","20:30","1234567","BOTH","","","AIRPORT_CURFEW","RGN","BOTH","GLOBAL","","","91127821","MM","0","2024/10/31 2:32:22"
"144799614","0","0","MUST","2024.6.24 明晓通知延期","因珠海机场改扩建，2023年12月28日00：00至2024年12月27日23：59（北京时），不具备宽体机保障能力。","OPSLIMIT","1","2024/11/20","2024/12/27","16:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","ZUH","BOTH","GLOBAL","","","91127830","MM","0","2024/11/1 1:05:42"
"144771928","0","0","MUST","","日本防卫省要求，札幌机场周1-4：仅1100-1600可以起降 周5的1100-周7的2300可以起降
周67：无限制","CURFEW","0","2024/10/27","2025/3/29","00:00","03:00","5","BOTH","","","AIRPORT_CURFEW","CTS","BOTH","GLOBAL","","","91127828","MM","0","2024/10/31 3:15:13"
"145725015","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","SFO","BOTH","GLOBAL","","","91226113","MM","1","2024/11/25 7:35:10"
"145725020","1","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","JFK","BOTH","GLOBAL","","","91226114","MM","1","2024/11/29 5:54:55"
"145725036","1","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","CDG","BOTH","GLOBAL","","","91226118","MM","1","2024/11/29 6:01:32"
"145725041","1","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","BCN","BOTH","GLOBAL","","","91226119","MM","1","2024/11/29 6:02:37"
"146384715","0","0","MUST","2024.12.17","B1179飞机限飞标高高于 5000 英尺的机场。","OPSLIMIT","1","2024/12/19","2025/12/31","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","468561160","91258974","MM","0","2024/12/18 2:31:13"
"145725051","1","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","FCO","BOTH","GLOBAL","","","91226121","MM","1","2024/11/29 6:05:04"
"145747721","0","0","MUST","2024.11.27运控室经理明晓通知","ZGHZ 惠州/平潭 2410310030 -- 2412100600 00:30-06:00 DLY
RWY09/27 关闭, 因维护。","CURFEW","0","2024/10/30","2024/12/9","16:30","22:00","1234567","BOTH","","","AIRPORT_CURFEW","HUZ","BOTH","GLOBAL","","","91226157","MM","0","2024/11/27 1:31:09"
"145777364","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","ARN","BOTH","GLOBAL","","","91226162","MM","1","2024/11/29 5:59:24"
"145856314","1","0","MUST","2024.12.2AOC","B1637不实施RNP AR运行（高高原机场及大连，丹东，乌鲁木齐）","OPSLIMIT","1","2024/12/1","2024/12/9","16:00","15:59","1234567","BOTH","","","AIRCRAFT","URC","BOTH","GLOBAL","","","91193356","MM","0","2024/12/10 2:32:32"
"146020307","0","0","MUST","2024.12.9接运行控制室辅助席位通知","K4284/24 南昌/昌北 (ZSCN)  2024/12/10 02:30 - 2024/12/14 06:00  (√) 
0230-0600 10,12 AND 14 RWY03/21 关闭, 因维护.","CURFEW","0","2024/12/9","2024/12/13","18:30","22:00","135","BOTH","","","AIRPORT_CURFEW","KHN","BOTH","GLOBAL","","","91226215","MM","0","2024/12/9 1:37:04"
"146030359","0","0","MUST","2024.11.9 AOC","ZWKC 库车/龟玆  C3720/24 2412092100-2412101200 EST 
RWY08/26 关闭. 因积冰.","CURFEW","0","2024/12/10","2024/12/10","00:00","04:00","1234567","BOTH","","","AIRPORT_CURFEW","KCA","BOTH","GLOBAL","","","91226223","MM","0","2024/12/9 14:17:57"
"146035055","1","0","MUST","2024.12.10 AOC/2024.12.15 运控辅助通知取消","B5211飞机限制运行军民合用机场","OPSLIMIT","1","2024/12/5","2024/12/14","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","509835776","91226229","MM","0","2024/12/15 5:50:28"
"146184328","0","0","MUST","2024.12.4接AOC通知，12.14接通知取消。","B7832执管基地站出港航班，禁飞欧、美、奥、非等航班","OPSLIMIT","1","2024/12/4","2024/12/13","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","361098670","91193371","MM","0","2024/12/14 3:32:17"
"143285347","0","0","MUST","","【地点:ZJSY 三亚/凤凰】2409250230 -- 2410260610
02:30-06:10 ON WED 02:10-06:10 ON SATRWY08/26 关闭, 因维护.","CURFEW","0","2024/9/24","2024/10/25","18:30","22:10","2","BOTH","","","AIRPORT_CURFEW","SYX","BOTH","GLOBAL","","","91062272","MM","0","2024/9/25 5:52:37"
"144771922","0","0","MUST","","日本防卫省要求，札幌机场周1-4：仅1100-1600可以起降 周5的1100-周7的2300可以起降
周67：无限制","CURFEW","0","2024/10/27","2025/3/29","00:00","03:00","1234","BOTH","","","AIRPORT_CURFEW","CTS","BOTH","GLOBAL","","","91127826","MM","0","2024/10/31 3:14:36"
"144133569","0","0","MUST","自2024年8月27日开始B-8800 限飞高原机场、高高原机场和贵阳机场","自2024年8月27日开始B-8800限飞高原机场、高高原机场和贵阳机场","OPSLIMIT","1","2024/10/9","2025/10/2","00:00","15:59","1234567","BOTH","","","AIRCRAFT","KWE","BOTH","GLOBAL","","","91127808","MM","0","2024/10/16 3:19:18"
"144617567","0","0","MUST","","ZULZ 泸州/云龙2410280100 -- 2411280530 
0100-0530 DLY RWY07/25 关闭, 因维护。","CURFEW","0","2024/10/27","2024/11/27","17:00","21:30","1234567","BOTH","","","AIRPORT_CURFEW","LZO","BOTH","GLOBAL","","","91160619","MM","0","2024/10/28 2:22:42"
"144771011","1","0","MUST","济州机场每日2200-0500宵禁。特殊天气或紧急情况下需提前申请，批准后可以在宵禁时段起降。","济州机场每日2200-0500宵禁。特殊天气或紧急情况下需提前申请，批准后可以在宵禁时段起降。","CURFEW","0","2024/10/26","2025/3/28","14:00","21:00","1234567","BOTH","","","AIRPORT_CURFEW","CJU","BOTH","GLOBAL","","","91127822","MM","0","2024/10/31 2:33:07"
"144771923","2","0","MUST","","日本防卫省要求，札幌机场周1-4：仅1100-1600可以起降 周5的1100-周7的2300可以起降
周67：无限制","CURFEW","0","2024/10/27","2025/3/29","08:00","23:59","1234","BOTH","","","AIRPORT_CURFEW","CTS","BOTH","GLOBAL","","","91127827","MM","0","2024/10/31 3:18:53"
"145747773","0","0","MUST","2024.11.27运控室明晓通知",".ZPLJ 丽江/三义 2411200130 -- 2501230600 01:30-06:00 DLY
RWY02/20 关闭, 因施工。","CURFEW","0","2023/11/19","2025/1/22","17:30","22:00","1234567","BOTH","","","AIRPORT_CURFEW","LJG","BOTH","GLOBAL","","","91226158","MM","0","2024/11/27 1:42:30"
"145747840","1","0","MUST","2024.11.27运控明晓通知","ZSTX 黄山/屯溪 2411170715 -- 2412081315 07:15-13:15 DLY
RWY13/31 关闭, 因道面维护。","CURFEW","0","2024/11/16","2024/12/7","23:15","23:59","1234567","BOTH","","","AIRPORT_CURFEW","TXN","BOTH","GLOBAL","","","91226159","MM","0","2024/11/27 2:56:06"
"145777355","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","LGW","BOTH","GLOBAL","","","91226161","MM","1","2024/11/29 5:57:51"
"145777381","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","IST","BOTH","GLOBAL","","","91226163","MM","1","2024/11/29 6:00:35"
"145777390","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","MAD","BOTH","GLOBAL","","","91226164","MM","1","2024/11/29 6:02:59"
"145777395","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","MXP","BOTH","GLOBAL","","","91226165","MM","1","2024/11/29 6:05:12"
"145777456","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","ATH","BOTH","GLOBAL","","","91226170","MM","1","2024/11/29 6:12:35"
"145780346","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","KHI","BOTH","GLOBAL","","","91226180","MM","1","2024/11/29 7:09:00"
"145780347","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","ISB","BOTH","GLOBAL","","","91226181","MM","1","2024/11/29 7:09:17"
"145780523","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","RGN","BOTH","GLOBAL","","","91226183","MM","1","2024/11/29 7:51:50"
"145828732","1","0","MUST","2024.11.29","B6117限飞国际航班","OPSLIMIT","1","2024/11/28","2024/12/31","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","113776777","91226184","MM","0","2024/11/30 9:43:13"
"145884441","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","CJU","BOTH","GLOBAL","","","91226196","MM","1","2024/12/2 3:15:21"
"145884590","0","0","MUST","2024.11.25","2024年冬春季国际/地区航班落地许可批复一览表","OPSLIMIT","1","2024/11/25","2025/3/29","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","GRU","BOTH","GLOBAL","","","91226199","MM","1","2024/12/2 3:37:14"
"145856308","1","0","MUST","2024.12.2AOC运行控制辅助席位通知","B321M飞机不执行国际航班","ACequipment","1","2024/12/1","2025/1/2","00:00","23:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","113776777","91193352","MM","0","2025/1/3 5:34:11"
"145856312","1","0","MUST","2024.12.2 AOC 12.07通知解除","B5518飞机限制运行军民合用机场","OPSLIMIT","1","2024/12/1","2025/2/6","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","509835776","91193355","MM","0","2025/2/7 8:28:06"
"145946370","1","0","MUST","2024.12.6 AOC通知
2024.12.7通知取消","B2045全舱娱乐故障，限飞欧、美，澳，非国际航班","OPSLIMIT","1","2024/12/5","2024/12/6","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","152495606","91226203","MM","0","2024/12/7 0:00:32"
"145946384","1","0","MUST","2024.12.6 AOC通知
2024.12.7通知取消","B2045全舱娱乐故障，限飞欧、美，澳，非国际航班","OPSLIMIT","1","2024/12/5","2024/12/6","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","361098670","91226207","MM","0","2024/12/7 0:17:56"
"145946389","3","0","MUST","2024.12.4 AOC通知,2024.12.14,AOC通知取消。","B7832执管基地站出港航班，禁飞欧、美、奥、非等航班","OPSLIMIT","1","2024/12/3","2024/12/13","16:00","23:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","2","91226208","MM","0","2024/12/14 3:26:54"
"145962972","1","0","MUST","2024.12.7AOC","B6846不实施RNP AR运行（高高原机场及大连，丹东，乌鲁木齐）","OPSLIMIT","1","2024/12/6","2024/12/9","16:00","15:59","1234567","BOTH","","","AIRCRAFT","URC","BOTH","GLOBAL","","","91193363","MM","0","2024/12/10 2:38:50"
"146029988","2","0","MUST","2024.12.9 AOC","飞机限制运行军民合用机场","OPSLIMIT","1","2024/12/8","2025/2/16","16:00","15:59","1234567","BOTH","","","AIRCRAFT","","BOTH","GLOBAL","","509835776","91226220","MM","0","2025/2/17 10:29:27"
"145971056","0","0","MUST","2024.12.8","ZWWW 乌鲁木齐/地窝堡  C3705/24 2412130200-2501140630 0200-0630 EVERY TUE AND FRI RWY07/25 关闭, 因道面维护, 可接受航班备降.
备注：请机组和放行人员注意。","CURFEW","0","2024/12/12","2025/1/13","18:00","22:30","14","BOTH","","","AIRPORT_CURFEW","URC","BOTH","GLOBAL","","","91193365","MM","0","2024/12/8 11:28:51"
"146020476","1","0","MUST","2025.1.1接辅助席位通知","
G0007/25 名古屋 (RJGG)  2025/01/05 14:50 - 2025/01/05 19:45  (√) 
RWY 18/36-CLSD DUE TO MAINT
RMK/EXC ACFT WITH PRIOR PERMISSION AT LEAST 1HR BFR","CURFEW","0","2025/1/5","2025/1/5","14:50","19:45","1234567","BOTH","","","AIRPORT_CURFEW","NGO","BOTH","GLOBAL","","","91226217","MM","0","2025/1/1 22:08:10"
"146026491","5","0","MUST","2025.2.24 AOC运控通知","ZSJN 济南/遥墙   2502260230-2503040530 
0230-0530 FEB 26,28 AND MAR 01-04  RWY01/19 关闭, 因日常维护","CURFEW","0","2025/2/25","2025/3/3","18:30","21:30","124567","BOTH","","","AIRPORT_CURFEW","TNA","BOTH","GLOBAL","","","91226219","MM","0","2025/2/24 9:30:01"
"146030354","0","0","MUST","2024.11.9 AOC","ZWKC 库车/龟玆  C3720/24 2412092100-2412101200 EST 
RWY08/26 关闭. 因积冰.","CURFEW","0","2024/12/9","2024/12/9","13:00","23:59","1234567","BOTH","","","AIRPORT_CURFEW","KCA","BOTH","GLOBAL","","","91226222","MM","0","2024/12/9 14:17:08"
"142647835","4","0","MEDIUM","2025.2.12明晓通知增加WNZ","运行初期仅执飞PEK、SHA、HGH、CTU、WUH、CKG航点，如商委长期编排PEK、SHA、HGH、CTU、WUH、WNZ、CKG以外的机场产生告警，与商委核实是否可飞","OPSLIMIT","1","2024/9/9","2025/3/28","00:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","","BOTH","GLOBAL","","487998879","90996831","MM","0","2025/2/12 6:40:15"
"144446658","2","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/26","2025/3/28","10:10","23:59","1234567","BOTH","","","AIRPORT_CURFEW","DCY","BOTH","GLOBAL","","","91160579","MM","0","2024/10/23 7:56:22"
"144446659","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","00:15","1234567","BOTH","","","AIRPORT_CURFEW","DCY","BOTH","GLOBAL","","","91160580","MM","0","2024/10/23 7:56:26"
"144446660","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/26","2025/3/28","10:00","23:59","1234567","BOTH","","","AIRPORT_CURFEW","AHJ","BOTH","GLOBAL","","","91160581","MM","0","2024/10/23 7:56:48"
"144446661","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","00:15","1234567","BOTH","","","AIRPORT_CURFEW","AHJ","BOTH","GLOBAL","","","91160582","MM","0","2024/10/23 7:56:52"
"144446662","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/26","2025/3/28","10:15","23:59","1234567","BOTH","","","AIRPORT_CURFEW","BPX","BOTH","GLOBAL","","","91160583","MM","0","2024/10/23 7:57:07"
"144446707","2","0","HIGH","西南分控W24航季运行建议","仅使用带辅助油箱的A32H（市场机型）飞机执行。","OPSLIMIT","1","2024/10/26","2024/12/16","16:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","CGK","BOTH","GLOBAL","","","91160596","MM","0","2024/12/17 0:52:46"
"144617523","1","0","MUST","2024.11.27运控室明晓通知","ZSCG 常州/奔牛 2411220110 -- 2412220655 01:10-06:55 DLY
RWY11/29 关闭，因维护。","CURFEW","0","2024/11/21","2024/12/21","17:10","22:55","1234567","BOTH","","","AIRPORT_CURFEW","CZX","BOTH","GLOBAL","","","91160613","MM","0","2024/11/27 1:45:10"
"144617524","0","0","MUST","","ZSGS 井冈山 2410240100 -- 2411050630 0100-0630 DLY 机场关闭, 因维护。","CURFEW","0","2024/10/23","2024/11/4","17:00","22:30","1234567","BOTH","","","AIRPORT_CURFEW","JGS","BOTH","GLOBAL","","","91160614","MM","0","2024/10/28 2:07:19"
"144617535","0","0","MUST","","ZSLY 临沂/启阳2410120100 -- 2411100530 0100-0530 DLY
RWY 01/19 跑道关闭，因道面修补。","CURFEW","0","2024/10/11","2024/11/9","17:00","21:30","1234567","BOTH","","","AIRPORT_CURFEW","LYI","BOTH","GLOBAL","","","91160615","MM","0","2024/10/28 2:08:35"
"144617545","0","0","MUST","","ZSWH 威海/大水泊2410230005 -- 2411030630 0005-0630 DLY
RWY03/21 关闭","CURFEW","0","2024/10/22","2024/11/2","16:05","22:30","1234567","BOTH","","","AIRPORT_CURFEW","WEH","BOTH","GLOBAL","","","91160616","MM","0","2024/10/28 2:11:31"
"144617551","1","0","MUST","2025.02.06明晓通知","【地点:ZSWX 无锡/硕放】K0138/25 NOTAMN 2501190220 -- 2504130350 √
0220-0350 EVERY SUN     RWY03/21 关闭, 因施工.","CURFEW","0","2025/1/18","2025/4/12","18:20","19:50","6","BOTH","","","AIRPORT_CURFEW","WUX","BOTH","GLOBAL","","","91160617","MM","0","2025/2/6 6:11:59"
"144617553","0","0","MUST","","ZSWY 武夷山2411010000 -- 2501222359 
机场关闭, 因施工。","CURFEW","1","2024/10/31","2025/1/21","16:00","15:59","1234567","BOTH","","","AIRPORT_CURFEW","WUS","BOTH","GLOBAL","","","91160618","MM","0","2024/10/28 2:17:09"
"144800342","2","0","MUST","2024.11.1明晓通知","11.9-11.20 每天 CA1907/8 可用E类飞机执行
11.11与11.18 两天 CA1905/6 可用E类飞机执行
因珠海机场改扩建，2023年12月28日00：00至2024年12月27日23：59（北京时），不具备宽体机保障能力。","OPSLIMIT","1","2024/11/8","2024/11/20","16:00","15:59","1234567","BOTH","","","AIRCRAFT_TYPE","ZUH","BOTH","GLOBAL","","","91127831","MM","0","2024/11/5 7:44:36"
